mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03406524658203125,0.010533202530144413,0.011153745651245116,0.001243348052142525,0.01,,500,l1,liblinear,"{'C': 0.01, 'class_weight': None, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",0.7759717314487633,0.7813194959229058,0.7870503597122303,0.7891737891737892,0.7863501483679525,0.7839731049251283,0.004758793280928233,29
0.028419065475463866,0.004056265870253512,0.012074089050292969,0.0014073144081475954,0.01,,500,l2,liblinear,"{'C': 0.01, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.7886347886347886,0.7913043478260869,0.7877492877492878,0.7909922589725545,0.7933765298776098,0.7904114426120655,0.0020084789133329715,23
0.029579687118530273,0.0023549030546676495,0.011451244354248047,0.001826704857527622,0.01,,1000,l1,liblinear,"{'C': 0.01, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.7759717314487633,0.7813194959229058,0.7870503597122303,0.7891737891737892,0.7863501483679525,0.7839731049251283,0.004758793280928233,29
0.030861616134643555,0.009882622757566531,0.013091325759887695,0.003843537275246531,0.01,,1000,l2,liblinear,"{'C': 0.01, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.7886347886347886,0.7913043478260869,0.7877492877492878,0.7909922589725545,0.7933765298776098,0.7904114426120655,0.0020084789133329715,23
0.03014545440673828,0.006158145579870612,0.01113595962524414,0.0027718949581560653,0.01,balanced,500,l1,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",0.7753934191702432,0.7772795216741405,0.7840579710144927,0.7865329512893983,0.7823485415108452,0.7811224809318239,0.004170947148629165,32
0.02492632865905762,0.0014452944223494262,0.010328578948974609,0.0007778020100130431,0.01,balanced,500,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.7877094972067039,0.7927272727272727,0.7839771101573677,0.7909604519774012,0.7945205479452054,0.7899789760027903,0.003750072887691852,25
0.02861676216125488,0.001237909401961398,0.009745550155639649,0.0007205624872833703,0.01,balanced,1000,l1,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.7753934191702432,0.7772795216741405,0.7840579710144927,0.7874015748031497,0.7823485415108452,0.7812962056345742,0.004404246350427961,31
0.024109506607055665,0.0008499028732201273,0.011007928848266601,0.0023084543297364492,0.01,balanced,1000,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.7877094972067039,0.7927272727272727,0.7839771101573677,0.7909604519774012,0.7945205479452054,0.7899789760027903,0.003750072887691852,25
0.03331313133239746,0.0012746429287810053,0.010056829452514649,0.0009345287859649781,0.1,,500,l1,liblinear,"{'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",0.7933884297520661,0.7933765298776098,0.7974772249474422,0.791578947368421,0.8017179670722978,0.7955078198035673,0.003658271047109119,1
0.02858247756958008,0.001403940435300727,0.009570169448852538,0.0004752061702396573,0.1,,500,l2,liblinear,"{'C': 0.1, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.7911479944674965,0.7913043478260869,0.7897727272727273,0.7881773399014779,0.7956678700361011,0.791214055900778,0.0024959186433532116,21
0.0326171875,0.0012795533864944364,0.009140253067016602,0.0007838370401958782,0.1,,1000,l1,liblinear,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.7933884297520661,0.7933765298776098,0.7966339410939691,0.791578947368421,0.8017179670722978,0.7953391630328727,0.003582236795050098,2
0.02670130729675293,0.0006419979844101884,0.008987188339233398,0.0012768750283686733,0.1,,1000,l2,liblinear,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.7911479944674965,0.7913043478260869,0.7897727272727273,0.7881773399014779,0.7956678700361011,0.791214055900778,0.0024959186433532116,21
0.0297060489654541,0.000864637254940468,0.008968210220336914,0.0005801116598465106,0.1,balanced,500,l1,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",0.7900552486187845,0.7927797833935019,0.7932251235003529,0.7901408450704225,0.7997128499641063,0.7931827701094336,0.0035168404464455513,15
0.02415885925292969,0.0024124814457941153,0.007774496078491211,0.000773609892429573,0.1,balanced,500,l2,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.7883414295628036,0.7904278462654097,0.7900355871886121,0.7881773399014779,0.7921795800144823,0.789832356586557,0.001474266738001074,27
0.024351119995117188,0.0028191021997259,0.0068813800811767575,0.0010086861202893457,0.1,balanced,1000,l1,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",0.7900552486187845,0.7927797833935019,0.7932251235003529,0.7901408450704225,0.7997128499641063,0.7931827701094336,0.0035168404464455513,15
